product_id,title,description
2522833868115316,2 Beds 2 Baths - Apartment,"MOVE IN TODAY FOR FREE MARCH RENT AND WIN A TV 📺!!!

We offer 2 bed 2 baths & 3 bed 2 bath!
Beautiful renovated apartment located in the Heart of Orem! ✨

AS LOW AS $1399!!! 
Plus Utilities

https://www.villageparkapartments.com/

Call to schedule a tour (801)-226-0064
OR stop by the office!
1080 N State Street, Orem, Utah, 84057

***Hablamos Español***"
872566835602032,2 Beds 1 Bath - House,"Cutest house available for spring/summer - might be able to renew for fall! Girl’s housing.

2 blocks from BYU campus (south campus)

2 spots available in a shared room - one of us is getting married and one of us is leaving for an internship, but we love the place!!! 

There are two other roommates who are very sweet! 

Utilities are fixed at $50 per month. 

Ward is amazing - lots of fun people and activities! 

Flexible availability in April/May! 

Parking available behind the house.

Laundry room shared with the basement unit. 

Lmk if you want a tour!"
2808485576016354,2 Beds 1 Bath Apartment,Selling a shared apartment at King Henry Apartments. April 21st - August 14th! 4 girls total in this apartment. Price is $559 + utilities. Option to renew for next lease term August 2026-2027 if you buy it now. Lots of amenities and close to BYU w/ a free shuttle. BYU contracted so you need to be a BYU student. Message me for more details!
1559859401951041,1 Bed 2 Baths Apartment,"$100 off!! Liberty Square Spring/Summer Contract for sale!

This complex is awesome! Super social, extremely close to school and lots of amenities. Pool, hot tub, gym, lounge, laundry and over or underground parking. The ward and neighbors are amazing. 

6 person apartment with shared rooms/bathrooms, lots of space with huge included TV and kitchen. Completely furnished.

First month free and reduced rent. Let me know if you have any questions!

Available April 22nd until August 7th."
1326082888709081,1 Bed 1 Bath Apartment,"Secondary bedroom for Rent!

I am looking for a responsible, friendly roommate. The room is Available by 02/01/2026. The rent is $700/month including utilities. A $1,000 security deposit is required (refundable after moving out if the property is not damaged and remains clean). 

*Background check required.
*6 month - 1+ year lease desirable.
*A lease agreement will be assigned after approval."
1451474613297267,1 Bed 1 Bath Apartment,"Rented to Women. This is a private bedroom with a bathroom (shared between two tenants). Selling my daughter's contract for Spring/Summer semesters, as she is graduating and moving. Available May, June, July & August. Contract available for next year as well (if want to stay for next school year). Available move in end of April after winter semester ends. Rent $575/month plus shared utilities about $45/month. Internet included. Includes reserved parking spot. Clean. Nice roommates. Great location. Buses stop regularly. Property management company is awesome to work with!

Belmont Condos- rented to women, nestled along Provo's east bench, near Seven Peaks Waterpark. Belmont Condos offers a comfortable yet fun housing experience. With spacious private rooms, with a washer/dryer in each unit. Enjoy the pool, clubhouse, hot tub, gym, and view of the mountains."
1419593106433682,2 Beds 1 Bath - Apartment,"The perfect two bedroom condo! There is no better location in Orem or Provo to have a condo. Park Avenue is awesome. Great for young families and also potentially students. It is beautifully landscaped with lots of grass to play, a swimming pool, and a club house.  Located in an end unit on the first floor for easy access. Includes all appliances, except washer and dryer.  ￼Storage unit with adjacent parking spot. ￼ RV parking and small park for kids.  Plenty of parking for guests!  No pets."
3390882477733823,2 Beds 2 Baths - Apartment,"UVU walking distance!! Getting married and Selling my lease at Wolverine Crossing in Orem

I Will pay you $150 for each month’s rent🎉 

available NOW till July 23, 2026

2 Beds 2 Baths shared room

Great Gym!! Laundry in building.

- shared room, $488 rent 
- utilities, insurance, parking pass not included 
- overall, $640 each month, but I’ll pay you $150 to take my lease🙏

if you renew the lease, rewards such as an iPad or AirPods 

Great ward!!!"
2323075244853954,Private Room For Rent,"[FOR SALE] Spring-Summer Contract: PRIVATE ROOM @ Spyglas Court (BYU approved), Prime Location: Directly across from the BYU Life Science Building! 

Looking for someone to take over my contract from May to August. This is a great spot if you want to be close to campus and have your own space.
The Numbers:
Rent: $468.75
Internet: $10/month (1GB Google Fiber)
Utilities: ~$15–$20/month (Gas/Electric average)
Parking: $40/month for a permit (Optional)
The Perks:
Private Bedroom: Spacious bedroom with a large desk and a closet.
Personal Pantry
High-Speed Tech: 1GB Google Fiber
In-Unit Laundry: Washer and dryer are right in the apartment.
Shared Bath: Only 2 people per bathroom, plus a personal sink
Parking Info: The complex has both covered and uncovered parking available for $40/month. However, since it's summer, there is plenty of free street parking nearby, so a permit isn't strictly necessary!
Address: 737 N 600 E (Apt 201). Literally a 2-minute walk to the south end of campus.
DM me for more info or to schedule a walkthrough!"
1250188363736296,3 Beds 2 Baths - Apartment,"3 Beds 2 Baths - Apartment

Women's BYU off-campus contracted shared room available for Spring/Summer!

@ Centennial Apartments

$440 rent + $70 utilities

Amenities include: 
-Extra Storage
-Dishwasher
-OnSite Swimming Pool
-Year-Round Spa
-Parking available 
-Recreation Room
-Central Heating & Air
-Balconies or patios in Each Unit
-On-Site Laundry
-20 Minute Walk to BYU
-Access to BYU Shuttle and The Ryde, -BBQ Area and Fire Pit
-Awesome Resident Activities

There are 5 other great girls in this apartment! My experience has been great, I am only moving out because I will be going home for the summer!

Message me with any questions!"
1436568281372680,2 Beds 1 Bath Apartment,"Contract for Sale — Available ASAP

Unit available March 2, but can be sold in April too.

Contract Period:
Ends on August 14, 2026
With the option to renew for a full year.

Rent:
$1,350/month + utilities
Total cost: $1,450–$1,500/month after utilities.

Utilities:
• $20 (Water, Sewer, Trash)
• Gas & Electricity (~$100 or less)
• $18 Tenant Liability Waiver Program

Apartment Details & Amenities:
• 2 bed / 1 bath apartment on 2nd floor
• 704 sq ft
• 2 blocks south of BYU
• Dishwasher and microwave
• All stainless steel appliances
• In-unit washer/dryer
• Double-sink vanity
• Two assigned garage parking spots (included with no extra cost)
• Plenty of storage in the apartment
• Assigned storage unit in parking garage (included)

**No pets allowed**

Message me if you have any questions!"
1403752491140336,2 Beds 2.5 Baths - Apartment,"Selling ASAP!! Will pay for March and April rent!
Men’s Apartment, 2 blocks south of BYU campus

I’m getting married in May, so I would love to sell this as soon as possible. Message me if you're interested! 

Available now!!

I am selling my contract for an Adams 4 floor plan at Liberty Square. This layout is incredibly spacious and my roommates are amazing!

The Space
* 2 full bathrooms on the second floor (one for each bedroom upstairs) plus a half-bath downstairs for guests.
* includes a large kitchen, walk-in pantry, and a huge living room perfect for hosting friends
* The unit is newly remodeled with modern paint, new flooring, and sleek black appliances.

Apartment Highlights
* ✨ Fully Furnished
* 🚀 Gigabit Internet & Google Fiber Ready
* 📺 New Flat Screen TVs Included
* 🍳 Large Kitchen with Dishwasher & Disposal
* 🛋️ Open Concept Living Area
* 🤝Super Chill Roommates

Community Perks
You’ll have access to some of the best amenities in the area:
* Relax: Swimming pool, brand new hot tub, and a gorgeous firepit.
* Play: Indoor basketball court, outdoor sport court, arcade table, pool, and ping pong.
* Work/Gym: 24-hour fitness center, computer lab, and clubhouse with an 80"" TV.
* Ease: Smart laundry facility, covered parking, and professional management.
* Church: Such a fun ward and awesome activities all summer!

Location: Liberty Square, Adams 4 
Price: $500/month"
1211489253831345,6 Beds 3 Baths - Apartment,"BEST PRICE IN COLLEGE PLACE
MY LOSS IS YOUR GAIN!

6 Beds 3 Baths - Apartment

737 N 900 E, Provo, UT [hidden information], United States

Selling College Place Contract – Most Popular Floor Plan!
Hey everyone! I’m selling my contract for a 6x3 at College Place in Provo, and honestly, this place has been amazing — I just need someone to take over my spot!
✨ Why You’ll Love It:
• $500/month – an awesome price for everything you get (Normally $730/month)
• Most popular and largest floor plan at College Place
• Comes with 2 fridges (total game-changer for having enough space!)
• Super clean apartment with awesome roommates
• Tons of space and storage — perfect for college living
💪 Amenities That Make It Stand Out:
• Full gym, so you don’t need a separate gym membership
• Hot tub for relaxing after a long day
• Amazing staff and management who actually care
• Great social scene and ward — seriously, the community here is top-notch
📍 Prime Location:
• Super close to campus, food spots, and everything you need
• Easy parking and super walkable area
If you’re looking for a clean, social, and convenient place to live, this is it. Message me for more details or to come check it out — this contract won’t last long!"
1649698982867446,Private Room For Rent,"Private, single male room/contract available for Fall/Winter 2026/2027. Across the street south of BYU and next door to UVX bus. The location is ideal! The apartment is clean and you will share the apartment with 2 great roommates! Washer/dryer in apartment."
4077640929155605,3 Beds 2 Baths - Apartment,"Men's Shared Room for Rent!
 $378/month (that includes utilities) 

I’m leaving on a mission 
• February & March rent already PAID - Over $1,000 in savings up front

Move in immediately 

• Liberty Square – Virginia 5 building
BYU/UVU student housing 

-  5 min walk to BYU
-  Next to UVX stop
-  Gym + laundry + parking garage
-  Great ward & roommates (seriously, such a great group of guys) 

• $504/month rent (~$615 with utilities) 
Factoring in already paid months rent is equivalent to $378 a month 

• Contract through Aug 7, 2026 (renewable)"
